date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:54	83253/83253	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335819f-14535%22	https://adminlte.io/themes/v3/plugins/bootstrap/js/bootstrap.bundle.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/bootstrap/js/bootstrap.bundle.min.js	(from https://adminlte.io/themes/v3/index.html)
17:12:55	5353/5353	---MCZ	200	added ('OK')	application/javascript	etag:W/%22633583da-1c33%22	https://adminlte.io/themes/v3/plugins/sparklines/sparkline.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/sparklines/sparkline.js	(from https://adminlte.io/themes/v3/index.html)
17:12:55	173077/173077	---MCZ	200	added ('OK')	application/javascript	etag:W/%22633581b2-2a415%22	https://adminlte.io/themes/v3/plugins/chart.js/Chart.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/chart.js/Chart.min.js	(from https://adminlte.io/themes/v3/index.html)
17:12:57	21150/21150	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335834b-529e%22	https://adminlte.io/themes/v3/plugins/jqvmap/jquery.vmap.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/jqvmap/jquery.vmap.min.js	(from https://adminlte.io/themes/v3/index.html)
17:12:57	47678/47678	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358354-ba60%22	https://adminlte.io/themes/v3/plugins/jqvmap/maps/jquery.vmap.usa.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/jqvmap/maps/jquery.vmap.usa.js	(from https://adminlte.io/themes/v3/index.html)
17:12:58	10804/10804	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335831c-2a34%22	https://adminlte.io/themes/v3/plugins/jquery-knob/jquery.knob.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/jquery-knob/jquery.knob.min.js	(from https://adminlte.io/themes/v3/index.html)
17:13:00	39036/39036	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335823c-10902%22	https://adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.js	(from https://adminlte.io/themes/v3/index.html)
17:13:00	58862/58862	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358382-e5ee%22	https://adminlte.io/themes/v3/plugins/moment/moment.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/moment/moment.min.js	(from https://adminlte.io/themes/v3/index.html)
17:13:02	61588/61588	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335841d-f094%22	https://adminlte.io/themes/v3/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js	(from https://adminlte.io/themes/v3/index.html)
17:13:04	42602/42602	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358385-a66a%22	https://adminlte.io/themes/v3/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js	(from https://adminlte.io/themes/v3/index.html)
17:13:04	77267/77267	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358182-19744%22	https://adminlte.io/themes/v3/dist/js/adminlte.js?v=3.2.0	/home/manish//mcdc/adminlte.io/themes/v3/dist/js/adminlte2167.js	(from https://adminlte.io/themes/v3/index.html)
17:13:04	153030/153030	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335840e-255c6%22	https://adminlte.io/themes/v3/plugins/summernote/summernote-bs4.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/summernote/summernote-bs4.min.js	(from https://adminlte.io/themes/v3/index.html)
17:13:05	18737/18737	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358183-5864%22	https://adminlte.io/themes/v3/dist/js/demo.js	/home/manish//mcdc/adminlte.io/themes/v3/dist/js/demo.js	(from https://adminlte.io/themes/v3/index.html)
17:13:06	4438/4438	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358184-1cbf%22	https://adminlte.io/themes/v3/dist/js/pages/dashboard.js	/home/manish//mcdc/adminlte.io/themes/v3/dist/js/pages/dashboard.js	(from https://adminlte.io/themes/v3/index.html)
17:13:06	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2008%20May%202024%2011:43:06%20GMT	https://fonts.googleapis.com/robots.txt		(from https://adminlte.io/themes/v3/index.html)
17:13:07	339/339	---M--	200	added ('OK')	image/png	etag:%2263358179-153%22	https://adminlte.io/themes/v3/dist/img/default-150x150.png	/home/manish//mcdc/adminlte.io/themes/v3/dist/img/default-150x150.png	(from https://adminlte.io/themes/v3/index3.html)
17:13:08	1777/1777	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358185-d9f%22	https://adminlte.io/themes/v3/dist/js/pages/dashboard3.js	/home/manish//mcdc/adminlte.io/themes/v3/dist/js/pages/dashboard3.js	(from https://adminlte.io/themes/v3/index3.html)
17:13:09	3455/3455	---M--	200	added ('OK')	image/jpeg	etag:%2263358180-d7f%22	https://adminlte.io/themes/v3/dist/img/user4-128x128.jpg	/home/manish//mcdc/adminlte.io/themes/v3/dist/img/user4-128x128.jpg	(from https://adminlte.io/themes/v3/index2.html)
17:13:10	3970/3970	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358322-204b%22	https://adminlte.io/themes/v3/plugins/jquery-mousewheel/jquery.mousewheel.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/jquery-mousewheel/jquery.mousewheel.js	(from https://adminlte.io/themes/v3/index2.html)
17:13:12	93167/93167	---MCZ	200	added ('OK')	application/javascript	etag:W/%22633583c4-16bef%22	https://adminlte.io/themes/v3/plugins/raphael/raphael.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/raphael/raphael.min.js	(from https://adminlte.io/themes/v3/index2.html)
17:13:14	35973/35973	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335831d-8c85%22	https://adminlte.io/themes/v3/plugins/jquery-mapael/jquery.mapael.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/jquery-mapael/jquery.mapael.min.js	(from https://adminlte.io/themes/v3/index2.html)
17:13:15	1484/1484	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358184-189b%22	https://adminlte.io/themes/v3/dist/js/pages/dashboard2.js	/home/manish//mcdc/adminlte.io/themes/v3/dist/js/pages/dashboard2.js	(from https://adminlte.io/themes/v3/index2.html)
17:13:15	60834/60834	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358320-eda2%22	https://adminlte.io/themes/v3/plugins/jquery-mapael/maps/usa_states.min.js	/home/manish//mcdc/adminlte.io/themes/v3/plugins/jquery-mapael/maps/usa_states.min.js	(from https://adminlte.io/themes/v3/index2.html)
17:13:17	654040/654040	---M--	200	added ('OK')	image/png	etag:%226335817a-a1a99%22	https://adminlte.io/themes/v3/dist/img/photo1.png	/home/manish//mcdc/adminlte.io/themes/v3/dist/img/photo1.png	(from https://adminlte.io/themes/v3/pages/widgets.html)
17:13:18	422537/422537	---M--	200	added ('OK')	image/png	etag:%226335817e-67289%22	https://adminlte.io/themes/v3/dist/img/photo2.png	/home/manish//mcdc/adminlte.io/themes/v3/dist/img/photo2.png	(from https://adminlte.io/themes/v3/pages/widgets.html)
17:13:18	370563/370563	---M--	200	added ('OK')	image/jpeg	etag:%226335817e-5a783%22	https://adminlte.io/themes/v3/dist/img/photo3.jpg	/home/manish//mcdc/adminlte.io/themes/v3/dist/img/photo3.jpg	(from https://adminlte.io/themes/v3/pages/widgets.html)
17:13:19	46369/46369	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358182-b521%22	https://adminlte.io/themes/v3/dist/js/adminlte.min.js?v=3.2.0	/home/manish//mcdc/adminlte.io/themes/v3/dist/js/adminlte.min2167.js	(from https://adminlte.io/themes/v3/pages/widgets.html)
